"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1561","2013 The Police Synchronicity Red Blend Wine Gift Set with Box, 3 x 750ml - https://t.co/RthgpzOCUS #wine https://t.co/nqCOzxk3VN",FALSE,0,NA,2017-11-15 14:51:33,FALSE,NA,"930810509745639425",NA,"<a href=""http://www.travelbagsblog.com"" rel=""nofollow"">Travel Bags Blog</a>","TravelBagsWorld",1,FALSE,FALSE,NA,NA
"1562","Day 7 Cooking Challenge - Italian Bitter Salad and Parmesan Crusted Chicken 

#food #foodporn #cookingchallenge… https://t.co/KNXqfbaFkw",FALSE,1,NA,2017-11-15 14:50:56,TRUE,NA,"930810355218989056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Southern_Somm",1,FALSE,FALSE,NA,NA
"1563","The Dark, Teeming Vineyard Underworld https://t.co/2FgQRp4rZj via @WineEnthusiast #wine #vineyards",FALSE,0,NA,2017-11-15 14:50:55,FALSE,NA,"930810348667527168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","brokenearthwine",0,FALSE,FALSE,NA,NA
"1564","The best places to shop.... https://t.co/SDpruaVJoA #spon #wine #California @CalifWines_US",FALSE,6,NA,2017-11-15 14:50:22,FALSE,NA,"930810208611393536",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Decanter",4,FALSE,FALSE,NA,NA
"1565","Which #Welmoed #wine would you enjoy with a slice of your favourite #pizza?",FALSE,0,NA,2017-11-15 14:50:15,FALSE,NA,"930810181667164160",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","welmoedwines",0,FALSE,FALSE,NA,NA
"1566","Our #barista is always  ready with #coffee &amp; a #smile The Café is open #7days a week for #breakfast #lunch #cake… https://t.co/EzFf9z4DAa",FALSE,0,NA,2017-11-15 14:49:52,TRUE,NA,"930810083205926913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Delvera",1,FALSE,FALSE,NA,NA
"1567","Sunday Nov 19th, 8pm ~Join The Trotters as we play #jazz at Paradiso’s Italian Restaurant Dinner special for two! S… https://t.co/wWdMmknNNl",FALSE,3,NA,2017-11-15 14:49:39,TRUE,NA,"930810028646436864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","musicalhossgal",3,FALSE,FALSE,NA,NA
"1568","From the archives:: What IS Minerality, Anyway?: An Evaluation of Consumer Understanding of Minerality... https://t.co/WvbJZPYQwa #wine",FALSE,0,NA,2017-11-15 14:48:28,FALSE,NA,"930809730725015552",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","WineGuild",0,FALSE,FALSE,NA,NA
"1569","Great experience #judging #wine at internationalwinechallenge 2018 Tranche 1
#Big #shoutout to… https://t.co/FXzbcwtB8U",FALSE,0,NA,2017-11-15 14:48:06,FALSE,NA,"930809639184236545",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JaiArya",0,FALSE,FALSE,"75.81647497","26.92672992"
"1570","Looking for the perfect #wine for #Thanksgiving? Try our #Vivanco Tempranillo Blanco and Rosado to celebrate the ho… https://t.co/6A5i3SYt17",FALSE,6,NA,2017-11-15 14:47:49,TRUE,NA,"930809567059021825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VivancoWines",1,FALSE,FALSE,NA,NA
"1571","From the archives:: What IS Minerality, Anyway?: An Evaluation of Consumer Understanding of Minerality... https://t.co/IvfluprtnF #wine",FALSE,1,NA,2017-11-15 14:47:27,FALSE,NA,"930809477103620098",NA,"<a href=""http://winthecustomer.com/"" rel=""nofollow"">Win the Customer</a>","TheAcademicWino",0,FALSE,FALSE,NA,NA
"1572","If you want to experience our Surrey Hills Tour for yourself &amp; enjoy a delectable day of #wine tasting, #gin tastin… https://t.co/PIjjBieU3f",FALSE,1,NA,2017-11-15 14:47:26,TRUE,NA,"930809471324098560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrapeGrainTours",0,FALSE,FALSE,NA,NA
